host_is_superhost,host_has_profile_pic,host_identity_verified,neighbourhood_group_cleansed,latitude,longitude,room_type,accommodates,bathroom_share_or_not,bedrooms,beds,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,reviews_per_month,bathrooms,Price,Pool,BabyBath,BabyMonitor,LakeAccess,BeachFront,Piano
0,1,1,1,40.685140000000004,-73.95976,0,3,0,1.0,3.0,1,730,349,89.0,8.0,9.0,9.0,9.0,9.0,9.0,0,4.82,1,4,0,0,0,0,0,0
0,1,0,2,40.76489,-73.98493,2,2,0,1.0,1.0,2,14,473,84.0,9.0,7.0,9.0,9.0,10.0,9.0,0,3.42,1,4,0,0,0,0,0,0
0,1,1,2,40.80178,-73.96723,2,1,1,1.0,1.0,2,14,118,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,0.88,1,4,0,0,0,0,0,0
1,1,1,2,40.713440000000006,-73.99037,0,2,0,1.0,1.0,1,1125,161,94.0,10.0,9.0,10.0,10.0,9.0,9.0,0,1.2,1,5,0,0,0,0,0,0
0,1,1,2,40.73552,-74.01042,0,2,0,1.0,1.0,3,21,66,97.0,10.0,9.0,10.0,10.0,10.0,10.0,0,0.49,1,5,0,0,0,0,0,0
1,1,1,1,40.66829,-73.98779,2,2,0,1.0,0.0,4,20,180,94.0,10.0,10.0,10.0,10.0,10.0,10.0,0,1.3,2,4,0,0,0,0,0,0
1,1,1,2,40.78962,-73.94802,0,2,0,1.0,1.0,4,700,233,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1.76,1,5,0,0,0,0,0,0
1,1,1,1,40.69121,-73.97277,0,4,0,1.0,2.0,2,1125,230,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,1.77,1,5,0,0,0,0,0,0
1,1,1,1,40.65599,-73.97519,2,2,1,1.0,1.0,1,20,23,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,0.82,1,5,0,0,0,0,0,0
1,1,1,2,40.7292,-73.98541999999999,0,3,0,1.0,1.0,3,75,33,94.0,10.0,9.0,10.0,10.0,10.0,9.0,0,0.25,1,5,0,0,0,0,0,0
